city,year,weekofyear,total_cases
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,7
iq,2010,36,7
iq,2010,37,4
iq,2010,38,7
iq,2010,39,5
iq,2010,40,5
iq,2010,41,7
iq,2010,42,7
iq,2010,43,7
iq,2010,44,7
iq,2010,45,7
iq,2010,46,7
iq,2010,47,7
iq,2010,48,7
iq,2010,49,10
iq,2010,50,5
iq,2010,51,7
iq,2011,52,8
iq,2011,1,4
iq,2011,2,7
iq,2011,3,7
iq,2011,4,14
iq,2011,5,7
iq,2011,6,7
iq,2011,7,7
iq,2011,8,7
iq,2011,9,7
iq,2011,10,10
iq,2011,11,8
iq,2011,12,9
iq,2011,13,7
iq,2011,14,8
iq,2011,15,7
iq,2011,16,8
iq,2011,17,7
iq,2011,18,8
iq,2011,19,9
iq,2011,20,8
iq,2011,21,8
iq,2011,22,5
iq,2011,23,9
iq,2011,24,7
iq,2011,25,7
iq,2011,26,7
iq,2011,27,4
iq,2011,28,9
iq,2011,29,10
iq,2011,30,8
iq,2011,31,4
iq,2011,32,4
iq,2011,33,5
iq,2011,34,14
iq,2011,35,4
iq,2011,36,9
iq,2011,37,7
iq,2011,38,7
iq,2011,39,7
iq,2011,40,7
iq,2011,41,7
iq,2011,42,7
iq,2011,43,6
iq,2011,44,5
iq,2011,45,7
iq,2011,46,7
iq,2011,47,7
iq,2011,48,7
iq,2011,49,8
iq,2011,50,7
iq,2011,51,8
iq,2012,52,7
iq,2012,1,7
iq,2012,2,8
iq,2012,3,9
iq,2012,4,12
iq,2012,5,7
iq,2012,6,5
iq,2012,7,8
iq,2012,8,7
iq,2012,9,9
iq,2012,10,9
iq,2012,11,7
iq,2012,12,7
iq,2012,13,9
iq,2012,14,10
iq,2012,15,7
iq,2012,16,7
iq,2012,17,8
iq,2012,18,7
iq,2012,19,7
iq,2012,20,7
iq,2012,21,7
iq,2012,22,5
iq,2012,23,4
iq,2012,24,7
iq,2012,25,8
iq,2012,26,7
iq,2012,27,8
iq,2012,28,7
iq,2012,29,7
iq,2012,30,6
iq,2012,31,7
iq,2012,32,4
iq,2012,33,4
iq,2012,34,7
iq,2012,35,10
iq,2012,36,4
iq,2012,37,7
iq,2012,38,4
iq,2012,39,7
iq,2012,40,7
iq,2012,41,7
iq,2012,42,7
iq,2012,43,7
iq,2012,44,7
iq,2012,45,7
iq,2012,46,7
iq,2012,47,7
iq,2012,48,7
iq,2012,49,7
iq,2012,50,10
iq,2012,51,7
iq,2013,1,7
iq,2013,2,7
iq,2013,3,7
iq,2013,4,7
iq,2013,5,7
iq,2013,6,7
iq,2013,7,8
iq,2013,8,7
iq,2013,9,7
iq,2013,10,8
iq,2013,11,5
iq,2013,12,7
iq,2013,13,8
iq,2013,14,9
iq,2013,15,7
iq,2013,16,7
iq,2013,17,9
iq,2013,18,3
iq,2013,19,7
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,9
iq,2013,24,7
iq,2013,25,7
iq,2013,26,7
