city,year,weekofyear,total_cases
sj,2012,26,17
sj,2012,27,19
sj,2012,28,23
sj,2012,29,31
sj,2012,30,34
sj,2012,31,44
sj,2012,32,45
sj,2012,33,49
sj,2012,34,52
sj,2012,35,57
sj,2012,36,81
sj,2012,37,89
sj,2012,38,60
sj,2012,39,64
sj,2012,40,62
sj,2012,41,66
sj,2012,42,66
sj,2012,43,64
sj,2012,44,62
sj,2012,45,64
sj,2012,46,61
sj,2012,47,59
sj,2012,48,54
sj,2012,49,45
sj,2012,50,37
sj,2012,51,33
sj,2013,1,33
sj,2013,2,31
sj,2013,3,31
sj,2013,4,29
sj,2013,5,26
sj,2013,6,20
sj,2013,7,18
sj,2013,8,16
sj,2013,9,15
sj,2013,10,14
sj,2013,11,13
sj,2013,12,13
sj,2013,13,13
sj,2013,14,13
sj,2013,15,13
sj,2013,16,13
sj,2013,17,13
iq,2010,26,3
iq,2010,27,3
iq,2010,28,3
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,4
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,8
iq,2010,41,8
iq,2010,42,10
iq,2010,43,11
iq,2010,44,11
iq,2010,45,11
iq,2010,46,11
iq,2010,47,11
iq,2010,48,11
iq,2010,49,11
iq,2010,50,12
iq,2010,51,12
iq,2011,52,11
iq,2011,1,11
iq,2011,2,12
iq,2011,3,12
iq,2011,4,14
iq,2011,5,12
iq,2011,6,11
iq,2011,7,11
iq,2011,8,11
iq,2011,9,10
iq,2011,10,9
iq,2011,11,8
iq,2011,12,6
iq,2011,13,6
iq,2011,14,5
iq,2011,15,5
iq,2011,16,6
iq,2011,17,4
iq,2011,18,5
iq,2011,19,4
iq,2011,20,4
iq,2011,21,4
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,4
iq,2011,37,4
iq,2011,38,5
iq,2011,39,6
iq,2011,40,8
iq,2011,41,8
iq,2011,42,11
iq,2011,43,10
iq,2011,44,9
iq,2011,45,11
iq,2011,46,11
iq,2011,47,11
iq,2011,48,11
iq,2011,49,13
iq,2011,50,13
iq,2011,51,10
iq,2012,52,10
iq,2012,1,11
iq,2012,2,12
iq,2012,3,12
iq,2012,4,17
iq,2012,5,12
iq,2012,6,9
iq,2012,7,13
iq,2012,8,12
iq,2012,9,12
iq,2012,10,10
iq,2012,11,8
iq,2012,12,6
iq,2012,13,7
iq,2012,14,6
iq,2012,15,5
iq,2012,16,5
iq,2012,17,4
iq,2012,18,4
iq,2012,19,4
iq,2012,20,4
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,3
iq,2012,35,3
iq,2012,36,4
iq,2012,37,4
iq,2012,38,7
iq,2012,39,6
iq,2012,40,7
iq,2012,41,9
iq,2012,42,11
iq,2012,43,11
iq,2012,44,11
iq,2012,45,11
iq,2012,46,11
iq,2012,47,11
iq,2012,48,11
iq,2012,49,12
iq,2012,50,11
iq,2012,51,12
iq,2013,1,11
iq,2013,2,11
iq,2013,3,11
iq,2013,4,12
iq,2013,5,11
iq,2013,6,12
iq,2013,7,12
iq,2013,8,11
iq,2013,9,10
iq,2013,10,9
iq,2013,11,7
iq,2013,12,6
iq,2013,13,6
iq,2013,14,7
iq,2013,15,5
iq,2013,16,5
iq,2013,17,4
iq,2013,18,4
iq,2013,19,4
iq,2013,20,4
iq,2013,21,4
iq,2013,22,3
iq,2013,23,3
iq,2013,24,3
iq,2013,25,3
iq,2013,26,3
